labware file,labware name,function,solution,concentration (mM),deck position,well,initial volume (mL)
sarstedt_77_tiprack_1000ul,"tips P1000, 1",tips,,,3,,
sarstedt_77_tiprack_1000ul,"tips P1000, 2",tips,,,6,,
sarstedt10_96_tiprack_20ul,"tips P20, 1",tips,,,9,,
needle_96_tiprack_20ul,needle P20,needle,,,8,,
dropstage_1_reservoir_5000ul,drop_stage,drop_stage,,,10,,
lightholder_1_reservoir_1000ul,light_holder,light_holder,,,1,,
sponge_216_wellplate_392ul,sponge,sponge,,,11,,
3dprinted_15_tuberack_15000ul,tube rack 15 mL,container,SOS,2.14,5,A1,7.8
3dprinted_15_tuberack_15000ul,tube rack 15 mL,container,CTAB,2.11,5,A2,10
3dprinted_15_tuberack_15000ul,tube rack 15 mL,container,90/10,pure,5,B1,7.8
3dprinted_15_tuberack_15000ul,tube rack 15 mL,container,70/30,pure,5,B2,7.8
3dprinted_15_tuberack_15000ul,tube rack 15 mL,container,50/50,pure,5,B3,7.8
3dprinted_15_tuberack_15000ul,tube rack 15 mL,container,30/70,pure,5,B4,7.8
3dprinted_15_tuberack_15000ul,tube rack 15 mL,container,10/90,pure,5,B5,7.8
3dprinted_50_tuberack_50000ul,tube rack 50 mL,container,water,pure,2,A2,50
3dprinted_50_tuberack_50000ul,tube rack 50 mL,container,water_wash,pure,2,A3,48
3dprinted_50_tuberack_50000ul,tube rack 50 mL,container,trash,pure,2,B3,30
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A1,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A2,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A3,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A4,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A5,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A6,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A7,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A8,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A9,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A10,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A11,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,A12,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B1,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B2,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B3,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B4,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B5,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B6,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B7,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B8,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B9,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B10,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B11,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,B12,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,C1,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,C2,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,C3,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,C4,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,C5,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,C6,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,C7,0
greinerblackwalls_96_wellplate_392ul,plate analysis,container,empty,n.a.,7,C8,0
